DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
VALLE,TULUÁ,76834000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,SEVILLA,76736000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,05120000,ARMA DE FUEGO,1/5/2019,FEMENINO,ADULTOS,1
ANTIOQUIA,CÁCERES,05120000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/5/2019,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
ATLÁNTICO,SOLEDAD,08758000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
MAGDALENA,SANTA MARTA (CT),47001000,ARMA DE FUEGO,1/5/2019,FEMENINO,ADULTOS,1
QUINDÍO,QUIMBAYA,63594000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN ROQUE,05670000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/5/2019,FEMENINO,ADULTOS,1
ANTIOQUIA,GUARNE,05318000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,ZARZAL,76895000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
CÓRDOBA,PUEBLO NUEVO,23570000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,TORO,76823000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
PUTUMAYO,PUERTO ASÍS,86568000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
